鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
萬丹鄉,土地,田厝段2085地號,50.12,,鄉村區,乙種建築用地,1140210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,454900,9076,,0.0,0,未登記建物；,RPPNMLQKKHKGFAT56DA,0.0,0.0,0.0,無,001
新園鄉,土地,新南段220地號,1549.74,,一般農業區,農牧用地,1140212,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2300000,1484,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKKHKGFDT96DA,0.0,0.0,0.0,無,
東港鎮,房地(土地+建物),屏東縣東港鎮朝陽街１３號,42.44,商,,,1140213,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土造,,95.65,3,2,2,有,無,4100000,42865,,0.0,0,其他增建；,RPPNMLTKKHKGFDT27EA,95.65,0.0,0.0,無,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉樹山路１５１號五樓之１,35.36,,鄉村區,乙種建築用地,1140205,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130626,129.13,3,2,2,有,有,9650000,73150,一樓平面,10.88,1000000,,RPQNMLKKKHKGFCT88DA,82.48,0.0,11.11,有,
內埔鄉,房地(土地+建物),屏東縣內埔鄉樹山路１５１號六樓之７,22.26,,鄉村區,乙種建築用地,1140212,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130626,73.47999999999999,3,2,2,有,有,6200000,84377,,0.0,0,,RPTNMLNKKHKGFCT86DA,52.97,0.0,5.19,有,
新園鄉,土地,新洋段476地號,1240.0,,一般農業區,窯業用地,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6190000,4992,,0.0,0,,RPSOMLTKKHKGFDT57DA,0.0,0.0,0.0,無,002
東港鎮,土地,大鵬段850-22地號,1652.89,都市：其他:遊憩區,,,1140213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,25000000,15125,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；急買急賣；,RPSOMLKLKHKGFDT76DA,0.0,0.0,0.0,無,003
萬巒鄉,土地,民生段920地號,149.95,,鄉村區,乙種建築用地,1140215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1350000,9003,,0.0,0,,RPPNMLLLKHKGFCT09EA,0.0,0.0,0.0,無,
枋寮鄉,土地,保生段991地號,100.36,商,,,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,8968,,0.0,0,未登記建物；瑕疵物件；,RPRNMLKLKHKGFFT86EA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿復興南路一段２８３巷１８號,46.82,,一般農業區,甲種建築用地,1140210,土地1建物1車位0,全,二層,透天厝,住家用,磚造,,74.4,3,2,2,有,無,4550000,61156,,0.0,0,,RPRNMLLLKHKGFAT98DA,74.4,0.0,0.0,無,004
潮州鎮,房地(土地+建物),屏東縣潮州鎮育英路２１巷９號,60.26,住,,,1140211,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0610518,85.44,4,1,2,有,無,1300000,15215,,0.0,0,因房屋老舊未修繕，賣方同意減少價金，買方同意按現況交屋，自行修繕房屋。,RPRNMLOLKHKGFCT86DA,85.44,0.0,0.0,無,005
新園鄉,房地(土地+建物),屏東縣新園鄉港墘路８２之９號,32.0,,鄉村區,乙種建築用地,1140207,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810826,76.7,3,2,3,有,無,1200000,15645,,0.0,0,,RPTNMLKKKHKGFDT66DA,76.7,0.0,0.0,無,006
恆春鎮,土地,萬里桐段99地號,4.15,,國家公園區,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,62000,14940,,0.0,0,,RPRNMLSKKHKGFET37DA,0.0,0.0,0.0,無,007
