編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLNKKHKGFCT86DA,1,58.16,集合住宅,鋼筋混凝土造,113年6月26日,七層,六層 陽台,全筆移轉
RPTNMLNKKHKGFCT86DA,1,15.32,本共有部分之項目有管委會使用空間，消防發電機室，安全梯，無障礙昇降機，電信室，機電設備空間，停車空間及樓梯間等八項。,鋼筋混凝土造,113年6月26日,七層,,持分移轉
RPRNMLLLKHKGFAT98DA,,74.40,住家用,磚造,,二層,一層 二層,全筆移轉
RPQNMLKKKHKGFCT88DA,1,93.59,集合住宅,鋼筋混凝土造,113年6月26日,七層,五層 陽台,全筆移轉
RPQNMLKKKHKGFCT88DA,1,35.54,本共有部分之項目有管委會使用空間，消防發電機室，安全梯，無障礙昇降機，電信室，機電設備空間，停車空間及樓梯間等八項。,鋼筋混凝土造,113年6月26日,七層,,持分移轉
RPRNMLOLKHKGFCT86DA,53,85.44,住家用,加強磚造,61年5月18日,二層,一層 二層,全筆移轉
RPTNMLKKKHKGFDT66DA,32,76.70,住家用,鋼筋混凝土造,81年8月26日,四層,一層 二層 三層 四層,持分移轉
RPSOMLKKKHKGFAT98DA,,88.22,集合住宅,鋼筋混凝土造,113年8月8日,五層,二層 陽台,全筆移轉
RPSOMLKKKHKGFAT98DA,,34.60,公共梯間、電信室、停車空間、樓梯間、機械室,鋼筋混凝土造,113年8月8日,五層,,持分移轉
RPPNMLOLKHKGFAT56EA,32,155.56,住家用,鋼筋混凝土造,82年6月28日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPWNMLTKKHKGFAT57DA,2,194.57,住家用,鋼筋混凝土造,111年9月12日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLRJKHKGFBT86DA,14,40.62,住家用,鋼骨構造,99年9月9日,一層,一層,全筆移轉
RPWNMLLLKHKGFET27DA,29,25.94,住家用,鋼筋混凝土造,84年11月16日,十二層,四層,全筆移轉
RPWNMLLLKHKGFET27DA,29,12.35,共同部份,鋼筋混凝土造,84年11月16日,十二層,,持分移轉
RPWNMLPLKHKGFAT27DA,43,64.97,住家用,鋼筋混凝土造,70年12月19日,五層,五層,全筆移轉
