編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLKKKHKGFCT88DA,一樓平面,1000000,10.88,一樓
RPSOMLKKKHKGFAT98DA,一樓平面,0,,一樓
RPRNMLQJKHKGFCT86DA,一樓平面,1000000,10.26,一樓
RPTOMLRKKHKGFAT17DA,一樓平面,900000,,一樓
RPXNMLMLJHKGFAT96DA,坡道平面,0,,地下一樓
RPWNMLLLJHKGFAT76DA,坡道平面,0,,地下一樓
RPWNMLSJKHKGFAT37DA,坡道平面,0,,地下一樓
RPQOMLRKKHKGFCT07DA,一樓平面,0,18.83,一樓
RPSOMLRKKHKGFCT27DA,一樓平面,0,18.83,一樓
RPUOMLRKKHKGFCT47DA,一樓平面,0,18.83,一樓
RPPNMLSKKHKGFCT96DA,一樓平面,0,18.83,一樓
RPQNMLSKKHKGFCT07DA,一樓平面,0,18.83,一樓
RPTOMLRKKHKGFCT37DA,一樓平面,0,18.83,一樓
RPUNMLKLKHKGFCT76DA,一樓平面,0,18.83,一樓
RPROMLKLKHKGFCT56DA,一樓平面,0,,一樓
RPTPMLLLJHKGFAT66DA,一樓平面,1400000,29.74,一樓
RPTNMLPLKHKGFCT17DA,坡道平面,0,,地下一樓
RPOOMLKLKHKGFAT68DA,坡道平面,0,,地下一樓
RPSNMLTJJHKGFAT96DA,一樓平面,0,,一樓
RPUNMLPLKHKGFAT07DA,坡道平面,1300000,27.00,地下一樓
RPQNMLSKKHKGFAT86DA,坡道平面,1300000,27.00,地下一樓
RPXNMLSKKHKGFAT57DA,一樓平面,1300000,27.00,一樓
RPWNMLSKKHKGFCT67DA,一樓平面,1000000,,一樓
RPSNMLPLKHKGFAT86DA,一樓平面,1200000,23.96,一樓
RPXOMLTKKHKGFDT08DA,其他,600000,8.18,一樓
RPWNMLSKKHKGFAT47DA,坡道平面,1300000,27.00,地下一樓
RPOOMLRKKHKGFCT86DA,一樓平面,0,18.83,一樓
RPPOMLTJJHKGFAT76DA,一樓平面,0,,一樓
RPPPMLTKKHKGFDT37DA,其他,600000,8.32,一樓
RPRPMLTKKHKGFDT57DA,其他,600000,8.32,一樓
RPWOMLOKKHKGFAT17DA,一樓平面,1300000,,一樓
RPPNMLKLKHKGFET09DA,一樓平面,0,,
RPUOMLTKKHKGFDT77DA,其他,600000,8.32,一樓
RPTNMLKLKHKGFAT09DA,一樓平面,1300000,,一樓
RPVOMLTKKHKGFDT87DA,其他,600000,8.18,一樓
RPTNMLPLKHKGFAT96DA,一樓平面,1300000,27.00,一樓
RPONNLRJJHKGFAT09DA,一樓平面,1400000,29.74,一樓
RPXNMLRKJHKGFAT37DA,一樓平面,0,,一樓
RPSOMLLKKIJGFAT09DA,坡道機械,0,,地下一樓
