編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOJKHKGFCT56CC,22,13.92,集合住宅,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLOJKHKGFCT56CC,22,5.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLOJKHKGFCT56CC,22,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPXNMLNLJHKGFCT37CC,47,60.75,住商用,鋼筋混凝土造,66年10月27日,三層,,
RPPNMLRJKHKGFCT86CC,21,12.55,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLRJKHKGFCT86CC,21,5.80,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLRJKHKGFCT86CC,21,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLNLJHKGFDT66CC,1,51.93,集合住宅,鋼筋混凝土造,112年8月18日,五層,,
RPPNMLNLJHKGFDT66CC,1,25.94,本共有部分之項目有公共梯間、電信室、停車空間、樓梯間、機械室等５項,鋼筋混凝土造,112年8月18日,五層,,
RPWNMLMKKHKGFCT17CC,21,12.08,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPWNMLMKKHKGFCT17CC,21,6.67,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPWNMLMKKHKGFCT17CC,21,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPSNMLNLJHKGFCT86CC,30,52.30,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPWNMLNLJHKGFCT27CC,30,31.70,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPUNMLNLJHKGFCT07CC,30,37.50,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPOPMLNLJHKGFAT09CC,30,30.90,住家用,鋼筋混凝土造,83年12月16日,五層,,
RPOPMLNLJHKGFAT09CC,30,7.67,蓄水池，梯間，机械室，水箱，停車空間,鋼筋混凝土造,83年12月16日,五層,,
RPTNMLNLJHKGFCT96CC,30,30.20,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPUNMLSKKHKGFAT37CC,31,94.33,集合住宅,鋼筋混凝土造,82年11月30日,十二層,,
RPPNMLSKKHKGFAT86CC,24,103.71,住宅、梯間,鋼筋混凝土造,89年12月30日,三層,,
RPUNMLSKKHKGFAT37CC,31,27.30,共同部份,鋼筋混凝土造,82年11月30日,十二層,,
RPTNMLSKKHKGFAT27CC,41,79.00,住家用,鋼筋混凝土造,72年11月15日,五層,,
RPQNMLKKKHKGFAT78CC,28,131.70,商業用,鋼筋混凝土造,86年2月26日,十三層,,
RPTNMLSKKHKGFAT27CC,41,23.39,地下室，走廊，樓梯,鋼筋混凝土造,72年11月15日,五層,,
RPQNMLKKKHKGFAT78CC,28,120.41,商業用,鋼筋混凝土造,86年2月26日,十三層,,
RPPNMLPJKHKGFAT09CC,21,12.55,辦公室,鋼筋混凝土造,93年6月30日,六層,,
RPQNMLKKKHKGFAT78CC,28,110.09,梯間，防空避難室，受電室，水箱，停車空間，陽台，雨遮，花台,鋼筋混凝土造,86年2月26日,十三層,,
RPPNMLPJKHKGFAT09CC,21,2.38,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPSNMLMKKHKGFAT56CC,21,12.62,辦公室,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLPJKHKGFAT09CC,21,6.73,電樓梯間、蓄水池、台電配電室、馬達間、受電箱、交誼廳,鋼筋混凝土造,93年6月30日,六層,,
RPSNMLMKKHKGFAT56CC,21,2.38,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPSNMLMKKHKGFAT56CC,21,6.73,電樓梯間、蓄水池、台電配電室、馬達間、受電箱、交誼廳,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLOJKHKGFAT98CC,21,12.57,辦公室,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLOJKHKGFAT98CC,21,2.38,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPPNMLOJKHKGFAT98CC,21,6.73,電樓梯間、蓄水池、台電配電室、馬達間、受電箱、交誼廳,鋼筋混凝土造,93年6月30日,六層,,
RPRNMLSKKHKGFAT07CC,2,56.59,集合住宅,鋼筋混凝土造,111年12月20日,十三層,,
RPRNMLSKKHKGFAT07CC,2,54.12,停車空間、防空避難室兼停車空間、管委會使用空間、梯間、梯廳、門廊、機車停車空間、車道停車空間、樓梯間,鋼筋混凝土造,111年12月20日,十三層,,
RPSNMLSKKHKGFAT17CC,32,90.42,住家用,鋼筋混凝土造,82年5月10日,七層,,
RPSNMLSKKHKGFAT17CC,32,35.03,樓梯間，防空避難室,鋼筋混凝土造,82年5月10日,七層,,
RPQNMLSKKHKGFAT96CC,30,60.13,集合住宅,鋼筋混凝土造,84年6月13日,九層,,
RPQNMLSKKHKGFAT96CC,30,15.69,集合住宅，停車空間，防空避難室,鋼筋混凝土造,84年6月13日,九層,,
RPWNMLSKKHKGFCT77CC,44,99.12,住商用,加強磚造,70年4月29日,二層,,
RPPNMLSKKHKGFDT17CC,43,87.38,店舖、住宅,加強磚造,70年12月26日,二層,,
