鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街３２號二樓,54.28,,鄉村區,乙種建築用地,1140208,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880414,140.13,3,2,2,有,無,4000000,28545,,0.0,0,,RPTNMLLKKHKGFAU56DA,101.88,9.96,9.12,有,01
花蓮市,車位,花蓮縣花蓮市南京街２０５號等１５９戶,0.0,,,,1140211,土地0建物1車位1,,,其他,,,,34.9,0,0,0,無,有,1940000,,坡道平面,34.9,1940000,建物坐落地號：主商段707地號；僅車位交易；,RPSNMLMKKHKGFAU56DA,0.0,0.0,0.0,有,02
吉安鄉,土地,仁廉段767地號,24.95,住,,,1140217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,36072,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTKKHKGFAU27DA,0.0,0.0,0.0,無,03
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯二路８３號八樓之八,4.12,住,,,1140214,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,32.47,1,0,1,有,有,1200000,36957,,0.0,0,,RPPNMLLLKHKGFAU98EA,17.6,0.0,2.49,有,
卓溪鄉,土地,崙布山段1393-1地號,176.21,,鄉村區,乙種建築用地,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,851,,0.0,0,無對外道路通行,RPPNMLTKKHKGFCU27EA,0.0,0.0,0.0,無,
吉安鄉,土地,宜安段344-2地號,7.0,,,,1140217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,38000,5429,,0.0,0,包含公共設施保留地用地；,RPPNMLNLKHKGFAU09DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路２巷１弄３０號,87.99,住,,,1140202,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0970225,178.54,4,2,3,有,無,13700000,76734,,0.0,0,含傢俱設備費；其他增建；,RPTNMLSJKHKGFAU17DA,165.02,5.25,8.27,無,
吉安鄉,土地,慈惠段784地號,205.47,住,,,1140211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6837600,33278,,0.0,0,,RPXNMLLKKHKGFAU96DA,0.0,0.0,0.0,無,04
玉里鎮,房地(土地+建物),花蓮縣玉里鎮仁愛路一段１７５號,113.0,住,,,1140212,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690719,115.29,0,0,0,無,無,5500000,47706,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPNMLOLKHKGFCU86EA,115.29,0.0,0.0,無,
萬榮鄉,土地,馬遠段1333-620地號,4961.0,,山坡地保育區,農牧用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,220000,44,,0.0,0,,RPSNMLOLKHKGFBU96DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建國路一段１２１巷３９號二樓之二,42.32,住,,,1140112,土地2建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130924,128.27,3,2,2,有,有,9500000,74063,,0.0,0,,RPTOMLSKKHKGFAU37DA,84.94,0.0,10.48,有,05
花蓮市,土地,民心段121-49地號,108.5,住,,,1140106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1700000,15668,,0.0,0,未登記建物；,RPQNMLMLJHKGFAU98DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海三街３７巷８號,137.0,,特定農業區,甲種建築用地,1140106,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701231,116.54,4,2,4,有,無,7300000,62639,,0.0,0,其他增建；,RPPOMLSKKHKGFAU96DA,116.54,0.0,0.0,無,06
花蓮市,房地(土地+建物),花蓮縣花蓮市仁愛街２７巷２號,67.0,商,,,1140127,土地1建物1車位0,全,一層,透天厝,住家用,木造,,42.32,2,1,1,有,無,4100000,96881,,0.0,0,其他增建；,RPQOMLSKKHKGFAU07DA,42.32,0.0,0.0,無,07
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興一街３７３巷５８弄６號,100.0,住,,,1140105,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940722,188.47,4,2,3,有,無,11800000,62609,,0.0,0,頂樓加蓋；其他增建；,RPVNMLKLKHKGFAU76DA,182.77,0.0,5.7,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街２５９號,82.0,住,,,1140119,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,,123.62,3,2,2,有,無,6600000,53389,,0.0,0,其他增建；,RPWNMLKLKHKGFAU86DA,123.62,0.0,0.0,無,
光復鄉,土地,西富段161地號,1641.4,,特定農業區,農牧用地,1140107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,731,,0.0,0,,RPPNMLTKKHKGFBU07DA,0.0,0.0,0.0,無,08
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城中三街４號,121.0,住,,,1140123,土地1建物1車位0,全,二層,透天厝,住商用,ＲＣ造、ＲＣ加強磚造,0711008,121.25,4,2,2,有,無,5300000,43711,,0.0,0,其他增建；,RPPNMLLLKHKGFCU09DA,119.05,0.0,2.2,無,
壽豐鄉,土地,壽山段560地號,265.14,,山坡地保育區,交通用地,1140116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,160000,603,,0.0,0,,RPRNMLQKJHKGFAU76DA,0.0,0.0,0.0,無,
花蓮市,土地,民勤段1548-31地號,675.0,農,,,1140102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5500000,8148,,0.0,0,包含公共設施保留地用地；,RPSNMLOLKHKGFAU86DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥十二街３５號三樓之五,32.01,住,,,1140121,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100518,150.14000000000001,2,2,2,有,有,10300000,68603,坡道平面,13.6,0,車位編號:5號吉安鄉宜昌段1308地號 權利範圍:2670/100000及同段1344建號 權利範圍:1/1其他增建；,RPUNMLOLKHKGFAU07DA,80.74,0.0,10.55,有,09
新城鄉,房地(土地+建物),花蓮縣新城鄉康樂一街１１９巷１弄１６號,91.48,,一般農業區,甲種建築用地,1140116,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0740812,96.06,4,2,2,有,無,5000000,52051,,0.0,0,,RPOOMLOLKHKGFAU56DA,96.06,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市豐村１１６之１６號,93.3,農,,,1140116,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870623,175.22,4,2,3,有,無,7450000,42518,,0.0,0,其他增建；,RPPOMLOLKHKGFAU66DA,159.41,0.0,15.81,無,
壽豐鄉,土地,平和段1057-2地號,393.25,農,,,1140119,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,7629,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLPLKHKGFAU76DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市民德四街２之９號十一樓,24.93,住,,,1140127,土地1建物1車位0,十一層，十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0920221,143.96,4,2,2,有,有,10050000,69811,,0.0,0,其他增建；,RPWNMLPLKHKGFAU37DA,89.49,2.96,17.42,有,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海十四街２７號七樓之三,25.19,住,,,1131221,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130923,89.98,2,2,2,有,有,6500000,72238,,0.0,0,土地：仁恥段909地號持分3759/100000新台幣195萬元整。建物：7C仁恥段1598建號新台幣455萬元整。,RPQNMLQKKHKGFAU76DA,59.99,0.0,2.98,有,
吉安鄉,土地,南華段5地號,3360.02,,特定農業區,農牧用地,1131220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18500000,5506,,0.0,0,未登記建物；,RPPNMLTKKHKGFAU96DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富二街９５號二樓之一,18.36,住,,,1131221,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131009,55.099999999999994,0,0,1,有,有,6000000,108893,,0.0,0,含裝潢費；含傢俱設備費；,RPQNMLKLKHKGFAU88DA,31.4,0.0,3.72,有,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉慶豐九街２８３號二樓之二,28.25,住,,,1131224,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120529,95.03,2,2,1,有,有,7150000,77016,一樓平面,12.58,800000,土地：慶豐段1793地號持分12502/100000新台幣4000500元整。建物：慶豐段4442建號新台幣2349500元整。,RPRNMLQKKHKGFAU86DA,53.78,0.0,5.24,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街２２２號,81.0,住,,,1131210,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0620521,120.34,2,3,1,有,無,6230000,51770,,0.0,0,其他增建；,RPXNMLOLKHKGFAU37DA,120.34,0.0,0.0,無,
壽豐鄉,土地,萬富段369地號,132.38,,一般農業區,水利用地,1131210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,397140,3000,,0.0,0,政府機關標讓售；,RPPNMLOLKHKGFAU56DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美五街２５巷９弄３號,104.08,住,,,1131215,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0920527,191.76,3,2,3,有,無,13500000,70401,,0.0,0,其他增建；,RPTNMLOLKHKGFAU96DA,169.56,0.0,22.2,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市廣東街５５號,99.0,住,,,1131216,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0681119,99.36,4,1,3,有,無,8200000,82528,,0.0,0,含傢俱設備費；頂樓加蓋；其他增建；,RPSNMLPLKHKGFAU96DA,99.36,0.0,0.0,無,
萬榮鄉,土地,西寶段395地號,3864.86,,特定農業區,農牧用地,1131218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1680000,435,,0.0,0,,RPRNMLPLKHKGFBU96DA,0.0,0.0,0.0,無,10
瑞穗鄉,土地,新舞鶴段635地號,4072.15,,山坡地保育區,農牧用地,1131209,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7832569,1923,,0.0,0,,RPSNMLSKKHKGFCU37DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海十四街２７號四樓之一,26.94,住,,,1131107,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130923,96.07000000000001,2,2,2,有,有,6800000,70782,,0.0,0,土地：仁恥段909地號持分4021/100000新台幣204萬元整。建物：4A仁恥段1584建號新台幣476萬元整。,RPPNMLQKKHKGFAU66DA,61.64,0.0,5.54,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街１９１號四樓之十一,6.99,商,,,1131117,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761117,46.410000000000004,1,0,1,有,有,2750000,59254,,0.0,0,其他增建；,RPQNMLRKKHKGFAU86DA,36.03,0.0,0.0,有,11
