編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTOMLSKKHKGFAU37DA,,95.42,住宅,鋼筋混凝土造,113年9月24日,六層,二層 陽台,全筆移轉
RPTOMLSKKHKGFAU37DA,,32.85,共有部份,鋼筋混凝土造,113年9月24日,六層,,持分移轉
RPTNMLLKKHKGFAU56DA,26,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,二層 陽台 雨遮,全筆移轉
RPTNMLLKKHKGFAU56DA,26,11.61,共有部份,鋼筋混凝土造,88年4月14日,五層,,持分移轉
RPTNMLLKKHKGFAU56DA,26,7.56,共有部份,鋼筋混凝土造,88年4月14日,五層,,持分移轉
RPSNMLMKKHKGFAU56DA,7,34.90,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,,持分移轉
RPQOMLSKKHKGFAU07DA,,42.32,住家用,木造,,一層,一層,全筆移轉
RPPOMLSKKHKGFAU96DA,43,116.54,住家用,鋼筋混凝土加強磚造,70年12月31日,二層,一層 二層,全筆移轉
RPWNMLKLKHKGFAU86DA,,123.62,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPVNMLKLKHKGFAU76DA,19,188.47,住家用,鋼筋混凝土造,94年7月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLLLKHKGFAU98EA,30,20.09,住家用,鋼筋混凝土造,83年11月15日,十二層,八層 陽台,全筆移轉
RPPNMLLLKHKGFAU98EA,30,6.37,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPNMLLLKHKGFAU98EA,30,6.01,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPTNMLSJKHKGFAU17DA,17,178.54,住家用,鋼筋混凝土造,97年2月25日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPQNMLQKKHKGFAU76DA,,62.97,集合住宅,鋼筋混凝土造,113年9月23日,七層,七層 陽台,全筆移轉
RPQNMLQKKHKGFAU76DA,,27.01,共有部份,鋼筋混凝土造,113年9月23日,七層,,持分移轉
RPQNMLKLKHKGFAU88DA,,35.12,集合住宅,鋼筋混凝土造,113年10月9日,五層,二層 陽台,全筆移轉
RPQNMLKLKHKGFAU88DA,,19.98,共有部份,鋼筋混凝土造,113年10月9日,五層,,持分移轉
RPPNMLLLKHKGFCU09DA,42,121.25,住商用,ＲＣ造、ＲＣ加強磚造,71年10月8日,二層,一層 二層 陽台 騎樓,全筆移轉
RPXNMLOLKHKGFAU37DA,52,120.34,住家用,鋼筋混凝土造,62年5月21日,二層,一層 二層 騎樓,全筆移轉
RPPOMLOLKHKGFAU66DA,27,175.22,住家用,鋼筋混凝土造,87年6月23日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPSNMLPLKHKGFAU96DA,45,99.36,住商用,鋼筋混凝土加強磚造,68年11月19日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPUNMLOLKHKGFAU07DA,4,91.29,集合住宅,鋼筋混凝土造,110年5月18日,九層,三層 陽台,全筆移轉
RPUNMLOLKHKGFAU07DA,4,45.25,共有部份,鋼筋混凝土造,110年5月18日,九層,,持分移轉
RPUNMLOLKHKGFAU07DA,4,13.60,共有部份（停車空間）,鋼筋混凝土造,110年5月18日,九層,,持分移轉
RPRNMLQKKHKGFAU86DA,2,59.02,集合住宅,鋼筋混凝土造,112年5月29日,五層,二層 陽台,全筆移轉
RPRNMLQKKHKGFAU86DA,2,23.43,共有部份,鋼筋混凝土造,112年5月29日,五層,,持分移轉
RPRNMLQKKHKGFAU86DA,2,12.58,共有部分（停車空間）,鋼筋混凝土造,112年5月29日,五層,,持分移轉
RPWNMLPLKHKGFAU37DA,22,.43,住家用,鋼骨造,92年2月21日,十二層,一層 二層,持分移轉
RPWNMLPLKHKGFAU37DA,22,.43,住家用,鋼骨造,92年2月21日,十二層,一層 二層,持分移轉
RPWNMLPLKHKGFAU37DA,22,109.01,住家用,鋼骨造,92年2月21日,十二層,十一層 十二層 陽台 雨遮,全筆移轉
RPPNMLQKKHKGFAU66DA,,67.18,集合住宅,鋼筋混凝土造,113年9月23日,七層,四層 陽台,全筆移轉
RPWNMLPLKHKGFAU37DA,22,14.27,共有部份,鋼骨造,92年2月21日,十二層,,持分移轉
RPPNMLQKKHKGFAU66DA,,28.89,共有部份,鋼筋混凝土造,113年9月23日,七層,,持分移轉
