編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLOLKHKGFBU96DA,馬遠段,4961.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13330620
RPSNMLTKKHKGFAU27DA,仁廉段,24.95,都市：住,84,4,持分移轉,07670000
RPTOMLSKKHKGFAU37DA,慈惠段,14.09,都市：住,100000,4139,持分移轉,05600015
RPTOMLSKKHKGFAU37DA,慈惠段,28.23,都市：其他:住宅區,100000,4139,持分移轉,05610015
RPTNMLLKKHKGFAU56DA,廣賢段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,23,持分移轉,01530000
RPXNMLLKKHKGFAU96DA,慈惠段,122.27,都市：住,20,1,持分移轉,07840000
RPXNMLLKKHKGFAU96DA,慈惠段,35.51,都市：其他:住宅區,20,1,持分移轉,08180000
RPXNMLLKKHKGFAU96DA,慈惠段,47.69,都市：其他:住宅區,20,1,持分移轉,08850000
RPQOMLSKKHKGFAU07DA,主商段,67.00,都市：商,1,1,全筆移轉,06430000
RPPOMLSKKHKGFAU96DA,南埔段,137.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,23650004
RPWNMLKLKHKGFAU86DA,碧雲段,82.00,都市：住,1,1,全筆移轉,04530000
RPVNMLKLKHKGFAU76DA,慶豐段,100.00,都市：住,1,1,全筆移轉,04520007
RPPNMLNLKHKGFAU09DA,宜安段,7.00,,1,1,全筆移轉,03440002
RPPNMLTKKHKGFBU07DA,西富段,1283.29,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01610000
RPPNMLTKKHKGFBU07DA,達莫段,358.11,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05830000
RPPNMLLLKHKGFAU98EA,富國段,4.12,都市：住,10000,51,持分移轉,04810000
RPSNMLOLKHKGFAU86DA,民勤段,611.00,都市：農,1,1,全筆移轉,15480031
RPSNMLOLKHKGFAU86DA,民勤段,64.00,都市：其他:道路用地,1,1,全筆移轉,15480032
RPTNMLSJKHKGFAU17DA,慈惠段,87.99,都市：住,1,1,全筆移轉,10060037
RPQNMLMLJHKGFAU98DA,民心段,108.50,都市：住,2,1,持分移轉,01210049
RPQNMLQKKHKGFAU76DA,仁恥段,25.19,都市：住,100000,3759,持分移轉,09090000
RPPNMLTKKHKGFAU96DA,南華段,3360.02,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00050000
RPQNMLKLKHKGFAU88DA,莊敬段,18.36,都市：住,10000,768,持分移轉,05220000
RPPNMLLLKHKGFCU09DA,玉城段,121.00,都市：其他:住宅區,1,1,全筆移轉,14650000
RPPNMLTKKHKGFCU27EA,崙布山段,176.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13930001
RPPNMLOLKHKGFAU56DA,萬富段,132.38,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,03690000
RPQNMLPLKHKGFAU76DA,平和段,170.68,都市：農,3,2,持分移轉,10570000
RPQNMLPLKHKGFAU76DA,平和段,208.48,都市：農,3,2,持分移轉,10570002
RPQNMLPLKHKGFAU76DA,平和段,14.09,都市：農,3,2,持分移轉,10570003
RPXNMLOLKHKGFAU37DA,福安段,81.00,都市：住,1,1,全筆移轉,15260000
RPPOMLOLKHKGFAU66DA,四維段,14.35,都市：農,10000,200,持分移轉,00260000
RPPOMLOLKHKGFAU66DA,四維段,78.87,都市：農,1,1,全筆移轉,00260014
RPPOMLOLKHKGFAU66DA,四維段,.08,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,200,持分移轉,00260052
RPSNMLPLKHKGFAU96DA,福安段,99.00,都市：住,1,1,全筆移轉,14850000
RPUNMLOLKHKGFAU07DA,宜昌段,32.01,都市：住,100000,2670,持分移轉,13080000
RPRNMLQKJHKGFAU76DA,壽山段,179.90,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,05600000
RPRNMLQKJHKGFAU76DA,壽山段,85.24,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,05610000
RPRNMLQKKHKGFAU86DA,慶豐段,28.25,都市：住,200000,25004,持分移轉,17930000
RPWNMLPLKHKGFAU37DA,民德段,24.93,都市：住,10000,92,持分移轉,05670000
RPPNMLQKKHKGFAU66DA,仁恥段,26.94,都市：住,100000,4021,持分移轉,09090000
RPRNMLPLKHKGFAU86DA,慈濟段,265.18,都市：農,1,1,全筆移轉,03090000
RPRNMLPLKHKGFAU86DA,慈濟段,14.63,都市：農,1,1,全筆移轉,03090001
RPQNMLLLKHKGFAU98DA,豐南段,6145.57,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16380000
RPUNMLTKKHKGFAU47DA,仁愛段,24.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,936,持分移轉,00280000
RPSNMLQKKHKGFAU96DA,仁恥段,26.94,都市：住,100000,4021,持分移轉,09090000
RPTNMLKLKHKGFAU56DA,北濱段,325.00,都市：商,1,1,全筆移轉,11000000
RPTNMLKLKHKGFAU56DA,北濱段,22.00,都市：商,1,1,全筆移轉,11010000
RPTNMLKLKHKGFAU56DA,北濱段,2.00,都市：商,1,1,全筆移轉,11010001
RPVNMLMKKHKGFAU86DA,嘉南段,28.09,都市：農,100000,6818,持分移轉,07050000
RPVNMLMKKHKGFAU86DA,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPVNMLMKKHKGFAU86DA,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPVNMLMKKHKGFAU86DA,嘉南段,15.00,都市：農,1,1,全筆移轉,07060027
RPVNMLMKKHKGFAU86DA,嘉南段,21.88,都市：農,16,1,持分移轉,07060039
RPSNMLSJKHKGFCU27DA,瑞新段,93.35,都市：其他:住宅區,1,1,全筆移轉,00470026
RPUNMLSJKHKGFCU47DA,瑞新段,93.26,都市：其他:住宅區,1,1,全筆移轉,00470027
RPOOMLSJKHKGFAU76DA,嘉南段,36.39,都市：農,100000,8832,持分移轉,07050000
RPOOMLSJKHKGFAU76DA,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPOOMLSJKHKGFAU76DA,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPOOMLSJKHKGFAU76DA,嘉南段,15.00,都市：農,1,1,全筆移轉,07060031
RPOOMLSJKHKGFAU76DA,嘉南段,21.88,都市：農,16,1,持分移轉,07060039
RPRNMLKLKHKGFAU98DA,嘉南段,35.30,都市：農,100000,8568,持分移轉,07050000
RPRNMLKLKHKGFAU98DA,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPRNMLKLKHKGFAU98DA,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPRNMLKLKHKGFAU98DA,嘉南段,15.00,都市：農,1,1,全筆移轉,07060037
RPRNMLKLKHKGFAU98DA,嘉南段,21.88,都市：農,16,1,持分移轉,07060039
RPSNMLKLKHKGFAU09DA,嘉南段,35.30,都市：農,100000,8568,持分移轉,07050000
RPSNMLKLKHKGFAU09DA,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPSNMLKLKHKGFAU09DA,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPSNMLKLKHKGFAU09DA,嘉南段,15.00,都市：農,1,1,全筆移轉,07060029
RPSNMLKLKHKGFAU09DA,嘉南段,21.88,都市：農,16,1,持分移轉,07060039
RPPNMLOLKHKGFCU86EA,玉璞段,55.00,都市：其他:住宅區,1,1,全筆移轉,08610007
RPPNMLOLKHKGFCU86EA,玉璞段,58.00,都市：其他:住宅區,1,1,全筆移轉,08610008
RPOOMLOLKHKGFAU56DA,廣安段,91.48,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05880000
RPTNMLOLKHKGFAU96DA,樹人段,2.83,都市：商,24,2,持分移轉,05570026
RPSNMLSKKHKGFCU37DA,新舞鶴段,3644.03,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06350000
RPSNMLSKKHKGFCU37DA,新舞鶴段,216.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06400000
RPSNMLSKKHKGFCU37DA,新舞鶴段,211.44,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06420000
RPTNMLOLKHKGFAU96DA,樹人段,14.25,都市：住,24,2,持分移轉,05580015
RPTNMLOLKHKGFAU96DA,樹人段,87.00,都市：住,1,1,全筆移轉,05580017
RPUNMLPLKHKGFAU17DA,嘉平段,90.00,都市：住,1,1,全筆移轉,10100000
RPXNMLNKKHKGFAU17DA,嘉南段,36.39,都市：農,100000,8832,持分移轉,07050000
RPXNMLNKKHKGFAU17DA,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPXNMLNKKHKGFAU17DA,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPXNMLNKKHKGFAU17DA,嘉南段,21.88,都市：農,16,1,持分移轉,07060039
RPXNMLNKKHKGFAU17DA,嘉南段,15.00,都市：農,1,1,全筆移轉,07060040
RPRNMLPLKHKGFBU96DA,西寶段,1133.51,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02630000
RPRNMLPLKHKGFBU96DA,西寶段,2731.35,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03950000
RPOOMLRKKHKGFAU76DA,裕民段,26.84,都市：住,100000,2714,持分移轉,04390000
RPUPMLRKJHKGFAU37DA,裕民段,28.37,都市：住,100000,2869,持分移轉,04390000
RPRPMLRKJHKGFAU07DA,裕民段,22.62,都市：住,100000,2287,持分移轉,04390000
RPPPMLRKJHKGFAU86DA,裕民段,22.62,都市：住,100000,2287,持分移轉,04390000
RPQNMLRKKHKGFAU86DA,主商段,6.74,都市：商,10000,55,持分移轉,07060000
RPQNMLRKKHKGFAU86DA,主商段,.24,都市：其他:道路用地,10000,55,持分移轉,07060002
RPWPMLRKJHKGFAU57DA,裕民段,26.84,都市：住,100000,2714,持分移轉,04390000
