編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLOLJHKGFAU86CC,10,319.61,住家用,鋼筋混凝土造,104年6月2日,四層,,
RPSNMLNLJHKGFAU76CC,51,98.08,住商用,鋼筋混凝土加強磚造,62年12月29日,二層,,
RPPNMLPLJHKGFAU66CC,32,180.56,住商用,鋼筋混凝土造,81年10月5日,二層,,
RPQNMLOJKHKGFAU56CC,35,56.00,住商用,鋼筋混凝土造,78年11月30日,三層,,
RPRNMLOLJHKGFAU76CC,4,53.33,店舖,鋼筋混凝土造,110年2月4日,六層,,
RPUNMLNJKHKGFAU86CC,19,19.84,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPRNMLOLJHKGFAU76CC,4,9.59,共有部份,鋼筋混凝土造,110年2月4日,七層,,
RPRNMLOLJHKGFAU76CC,4,16.49,共有部份,鋼筋混凝土造,110年2月4日,六層,,
RPUNMLOJKHKGFAU96CC,29,121.94,住宅、停車空間,鋼筋混凝土造,84年9月30日,五層,,
RPTNMLOJKHKGFAU86CC,7,53.06,集合住宅,鋼筋混凝土造,107年4月27日,十二層,,
RPTNMLOJKHKGFAU86CC,7,12.08,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,,
RPTNMLOJKHKGFAU86CC,7,16.40,共有部份,鋼筋混凝土造,107年4月27日,十二層,,
RPRNMLNLJHKGFAU66CC,19,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPPNMLSJKHKGFAU86CC,36,49.89,住商用,鋼筋混凝土造,78年3月17日,四層,,
RPPNMLPKKHKGFAU66CC,30,109.89,住家用,鋼筋混凝土造,83年10月28日,十四層,,
RPTNMLNKKHKGFAU86CC,32,18.25,倉儲,鋼筋混凝土造,81年9月30日,八層,,
RPRNMLRJKHKGFAU96CC,28,35.79,住家用,鋼筋混凝土造,85年9月20日,五層,,
RPPNMLPKKHKGFAU66CC,30,29.09,共有部份,鋼筋混凝土造,83年10月28日,十四層,,
RPRNMLRJKHKGFAU96CC,28,7.90,共有部份,鋼筋混凝土造,85年9月20日,五層,,
RPQNMLMKKHKGFAU09CC,29,16.00,住商用,鋼筋混凝土造,85年7月16日,五層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,88.36,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,35.95,旅館,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,154.60,停車空間,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLRJKHKGFAU86CC,29,638.43,本共有部分之項目有車道、電梯、機械室、通道、避難室等,鋼筋混凝土造,85年7月1日,六層,,
RPQNMLTKKHKGFAU27DC,29,60.41,集合住宅,鋼筋混凝土造,84年11月4日,十層,,
RPQNMLTKKHKGFAU27DC,29,11.69,共有部份,鋼筋混凝土造,84年11月4日,十層,,
RPQNMLTKKHKGFAU27DC,29,15.10,共有部份,鋼筋混凝土造,84年11月4日,十層,,
