編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLOLJHKGFAU86CC,慈惠段,144.72,都市：住,,,,07770017
RPQNMLRJKHKGFAU86CC,宜寧段,62.00,都市：住,,,,05650003
RPQNMLRJKHKGFAU86CC,宜寧段,26.00,都市：住,,,,05660001
RPQNMLRJKHKGFAU86CC,宜寧段,1.00,都市：住,,,,05660002
RPQNMLRJKHKGFAU86CC,宜寧段,1.00,都市：住,,,,05660005
RPQNMLRJKHKGFAU86CC,宜寧段,475.00,都市：住,,,,05880000
RPQNMLRJKHKGFAU86CC,宜寧段,158.00,都市：住,,,,05880001
RPQNMLRJKHKGFAU86CC,宜寧段,178.00,都市：住,,,,05880002
RPQNMLRJKHKGFAU86CC,宜寧段,19.00,都市：住,,,,05880003
RPQNMLRJKHKGFAU86CC,宜寧段,39.00,都市：住,,,,05890001
RPQNMLRJKHKGFAU86CC,宜寧段,88.00,都市：商,,,,06030000
