鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
長濱鄉,土地,樟原段大峰峰小段236地號,5480.0,,風景區,農牧用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8000000,1460,,0.0,0,未登記建物；,RPPNMLKKKHKGFBV88DA,0.0,0.0,0.0,無,
台東市,土地,康樂段1044地號,172.0,,特定農業區,農牧用地,1140217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,130000,756,,0.0,0,,RPRNMLRKKHKGFAV07DA,0.0,0.0,0.0,無,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號一樓之５３,17.32,商,,,1140211,土地2建物1車位0,一層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0840714,61.52,1,1,1,有,有,1500000,24382,,0.0,0,,RPPNMLKLKHKGFDV56DA,45.42,4.78,0.0,有,01
台東市,房地(土地+建物),臺東縣台東市四川路二段３７２號,6390.77,,特定農業區,農牧用地,1140208,土地2建物1車位0,全,一層,透天厝,農業用,無墻有墻鋼架造,0880112,172.96,5,1,2,有,無,20000000,115634,,0.0,0,農作物；,RPPOMLKKKHKGFAV88DA,172.96,0.0,0.0,無,
綠島鄉,土地,下南寮段1194地號,153.34,都市：其他:保護區,,,1140212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1360000,8869,,0.0,0,農作物；,RPPNMLKLKHKGFAV88DA,0.0,0.0,0.0,無,02
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號七樓之９,15.01,商,,,1140212,土地2建物1車位0,七層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0840714,37.81,1,1,1,有,有,700000,18514,,0.0,0,,RPTNMLMKKHKGFDV07DA,27.07,3.8,0.0,有,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷５號七樓之７,15.01,商,,,1140212,土地2建物1車位0,七層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0840714,37.81,1,1,1,有,有,700000,18514,,0.0,0,,RPUNMLMKKHKGFDV17DA,27.07,3.8,0.0,有,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷３號五樓之２,8.08,商,,,1140215,土地2建物1車位0,五層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0830930,36.99,0,0,0,無,有,1200000,32441,,0.0,0,,RPPNMLRKKHKGFDV17DA,27.74,0.0,3.8,有,
台東市,房地(土地+建物),臺東縣台東市傳廣路５２８號四樓之１,5.35,住,,,1140214,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830126,32.18,1,0,1,有,有,1630000,50653,,0.0,0,,RPPNMLOLKHKGFAV66DA,21.82,0.0,2.01,有,
台東市,房地(土地+建物),臺東縣台東市康樂路１３１巷７弄８號三樓,23.41,都市：其他:住宅區,,,1140207,土地4建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840601,92.19,3,2,2,有,無,4600000,49897,,0.0,0,含傢俱設備費；,RPQNMLOLKHKGFAV76DA,63.7,10.26,0.0,無,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路５３巷３號四樓之３７,8.08,商,,,1140217,土地2建物1車位0,四層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0830930,36.99,0,0,0,無,有,1100000,29738,,0.0,0,,RPQNMLRKKHKGFDV27DA,27.74,0.0,3.8,有,
台東市,土地,大豐段6地號,3038.7,,特定農業區,農牧用地,1140103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,1481,,0.0,0,含小型水井一口、農用電表一個。農作物；機電設備；,RPPNMLQKJHKGFAV66DA,0.0,0.0,0.0,無,03
台東市,土地,豐里段108地號,1429.72,,特定農業區,農牧用地,1140126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,699,,0.0,0,,RPSNMLQJKHKGFAV96DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市廣東路３４７號,40.9,住,,,1140126,土地2建物1車位0,全,一層,透天厝,住家用,木造,,25.34,0,0,0,無,無,800000,31571,,0.0,0,,RPQNMLSKKHKGFAV07DA,18.73,6.61,0.0,無,
台東市,房地(土地+建物)+車位,臺東縣台東市柳州街２７３號,17.27,商,,,1140107,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),商業用,ＲＣ造,1110328,109.62,0,1,1,有,有,11000000,100347,坡道平面,28.7,0,,RPUNMLSKKHKGFAV47DA,60.43,0.0,0.0,有,04
