編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLKKKHKGFAV88DA,26,172.96,自用農舍,無墻有墻鋼架造,88年1月12日,一層,一層,全筆移轉
RPUNMLMKKHKGFDV17DA,30,6.94,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPUNMLMKKHKGFDV17DA,30,30.87,套房,鋼筋混凝土造,84年7月14日,八層,七層 見其他登記事項,全筆移轉
RPTNMLMKKHKGFDV07DA,30,6.94,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPTNMLMKKHKGFDV07DA,30,30.87,套房,鋼筋混凝土造,84年7月14日,八層,七層 見其他登記事項,全筆移轉
RPQNMLRKKHKGFDV27DA,30,5.45,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,,持分移轉
RPQNMLRKKHKGFDV27DA,30,31.54,套房,鋼筋混凝土造,83年9月30日,八層,四層 陽台,全筆移轉
RPPNMLRKKHKGFDV17DA,30,5.45,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,,持分移轉
RPPNMLRKKHKGFDV17DA,30,31.54,套房,鋼筋混凝土造,83年9月30日,八層,五層 陽台,全筆移轉
RPPNMLKLKHKGFDV56DA,30,11.32,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPPNMLKLKHKGFDV56DA,30,50.20,套房,鋼筋混凝土造,84年7月14日,八層,一層 見其他登記事項,全筆移轉
RPRNMLRKJHKGFBV07DA,34,141.69,住家用,加強磚造,80年2月12日,二層,一層 二層 陽台 騎樓,全筆移轉
RPQNMLSKKHKGFAV07DA,,25.34,住家用,木造,,一層,一層 廚房,全筆移轉
RPPNMLOLKHKGFAV66DA,31,23.83,集合住宅,鋼筋混凝土造,83年1月26日,七層,四層 陽台,全筆移轉
RPPNMLOLKHKGFAV66DA,31,.57,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPPNMLOLKHKGFAV66DA,31,.57,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPPNMLOLKHKGFAV66DA,31,.57,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPPNMLOLKHKGFAV66DA,31,.57,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPPNMLOLKHKGFAV66DA,31,.57,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPPNMLOLKHKGFAV66DA,31,.57,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPPNMLOLKHKGFAV66DA,31,.58,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPPNMLOLKHKGFAV66DA,31,4.33,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,持分移轉
RPQNMLLLKHKGFBV56DA,,221.65,住家用,鋼筋混凝土造,113年8月15日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLPJJHKGFAV56DA,30,8.90,共同使用．汽車升降孔．樓梯．電梯．機械房,鋼筋混凝土造,83年11月24日,九層,,持分移轉
RPQNMLPJJHKGFAV56DA,30,1.95,共同使用．走道．樓梯,鋼筋混凝土造,83年11月24日,九層,,持分移轉
RPQNMLPJJHKGFAV56DA,30,3.19,共同使用．走道．電扶梯．廁所,鋼筋混凝土造,83年11月24日,九層,,持分移轉
RPQNMLPJJHKGFAV56DA,30,4.25,共同使用．人行道．走道．電扶梯,鋼筋混凝土造,83年11月24日,九層,,持分移轉
RPQNMLPJJHKGFAV56DA,30,15.42,商業用,鋼筋混凝土造,83年11月24日,九層,一層,全筆移轉
RPQNMLKLKHKGFAV98DA,,198.66,Ｈ２住宅,鋼筋混凝土造,113年8月21日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLTKKHKGFAV07DA,46,75.60,住家用,加強磚造,67年12月4日,二層,一層 二層,全筆移轉
RPSNMLPKJIJGFAV86DA,15,249.36,住家用,ＲＣ造,99年1月22日,二層,一層 二層 見其他登記事項,全筆移轉
RPUNMLSKKHKGFAV47DA,3,.04,店舖,ＲＣ造,111年3月28日,十四層,一層,持分移轉
RPUNMLSKKHKGFAV47DA,3,60.39,店舖,ＲＣ造,111年3月28日,十四層,一層,全筆移轉
RPUNMLSKKHKGFAV47DA,3,28.69,防空避難室兼停車空間、台電配電室、電信室、水箱、停車空間、消防機械室、污水機房、騎樓、管委會空間、發電機室、垃圾間,ＲＣ造,111年3月28日,十四層,,持分移轉
RPUNMLSKKHKGFAV47DA,3,4.03,防空避難室兼停車空間、台電配電室、電信室、水箱、停車空間、消防機械室、污水機房、騎樓、管委會空間、發電機室、垃圾間,ＲＣ造,111年3月28日,十四層,,持分移轉
RPUNMLSKKHKGFAV47DA,3,16.45,梯間、消防水箱、昇降機防、水箱,ＲＣ造,111年3月28日,十四層,,持分移轉
RPUNMLSKKHKGFAV47DA,3,.01,梯間、消防水箱、昇降機房、水箱,ＲＣ造,111年3月28日,十四層,,持分移轉
RPQNMLOLKHKGFAV76DA,30,73.96,集合住宅,鋼筋混凝土造,84年6月1日,五層,三層 見其他登記事項,全筆移轉
RPQNMLOLKHKGFAV76DA,30,8.51,停車空間．兼儲藏室（共同使用）,鋼筋混凝土造,84年6月1日,五層,,持分移轉
RPQNMLOLKHKGFAV76DA,30,9.71,樓梯．通廊．瞭望台．水箱．蓄水池（共同使用）,鋼筋混凝土造,84年6月1日,五層,,持分移轉
RPUNMLNKKHKGFAV96DA,,94.08,集合住宅,鋼筋混凝土造,113年12月20日,五層,四層 見其他登記事項,全筆移轉
RPUNMLNKKHKGFAV96DA,,31.73,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPVNMLNKKHKGFAV07DA,,108.86,集合住宅,鋼筋混凝土造,113年12月20日,五層,五層 見其他登記事項,全筆移轉
RPVNMLNKKHKGFAV07DA,,51.42,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPWNMLNKKHKGFAV17DA,,94.08,集合住宅,鋼筋混凝土造,113年12月20日,五層,五層 見其他登記事項,全筆移轉
RPWNMLNKKHKGFAV17DA,,45.08,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPPNMLLLKHKGFBV09DA,38,105.56,住家用,加強磚造,76年3月16日,二層,一層 二層 屋頂突出物,全筆移轉
RPQNMLNKKHKGFAV56DA,,110.91,集合住宅,鋼筋混凝土造,113年12月20日,五層,二層 見其他登記事項,全筆移轉
RPQNMLNKKHKGFAV56DA,,52.23,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPRNMLNKKHKGFAV66DA,,108.06,集合住宅,鋼筋混凝土造,113年12月20日,五層,三層 見其他登記事項,全筆移轉
RPRNMLNKKHKGFAV66DA,,51.17,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPSNMLNKKHKGFAV76DA,,94.08,集合住宅,鋼筋混凝土造,113年12月20日,五層,三層 見其他登記事項,全筆移轉
RPSNMLNKKHKGFAV76DA,,31.73,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPRNMLSKKHKGFAV17DA,,94.08,集合住宅,鋼筋混凝土造,113年12月20日,五層,二層 見其他登記事項,全筆移轉
RPRNMLSKKHKGFAV17DA,,31.73,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPTNMLNKKHKGFAV86DA,,108.86,集合住宅,鋼筋混凝土造,113年12月20日,五層,四層 見其他登記事項,全筆移轉
RPTNMLNKKHKGFAV86DA,,59.03,共有部分,鋼筋混凝土造,113年12月20日,五層,,持分移轉
RPXNMLPLKIJGFAV57DA,,264.73,Ｈ２住宅,鋼筋混凝土造,113年7月17日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPQNMLOJKHKGFAV56DA,30,149.35,店舖，集合住宅,鋼筋混凝土造,84年1月4日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLOKJHKGFAV66DA,,80.60,Ｈ２集合住宅,鋼筋混凝土造,113年5月28日,五層,五層 見其他登記事項,全筆移轉
RPRNMLOKJHKGFAV66DA,,23.17,樓梯間、電梯間、梯廳、昇降機房、機械室,鋼筋混凝土造,113年5月28日,五層,,持分移轉
