編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLKKKHKGFAV88DA,旭川段,2827.21,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08550000
RPPOMLKKKHKGFAV88DA,旭川段,3563.56,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08570000
RPUNMLMKKHKGFDV17DA,秀山段,15.00,都市：其他:出租旅館區,10000,13,持分移轉,07230000
RPUNMLMKKHKGFDV17DA,秀山段,.00,都市：其他:出租旅館區,10000,13,持分移轉,07230001
RPTNMLMKKHKGFDV07DA,秀山段,15.00,都市：其他:出租旅館區,10000,13,持分移轉,07230000
RPTNMLMKKHKGFDV07DA,秀山段,.00,都市：其他:出租旅館區,10000,13,持分移轉,07230001
RPPNMLQKJHKGFAV66DA,大豐段,3038.70,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00060000
RPQNMLRKKHKGFDV27DA,秀山段,8.08,都市：其他:出租旅館區,10000,7,持分移轉,07230000
RPQNMLRKKHKGFDV27DA,秀山段,.00,都市：其他:出租旅館區,10000,7,持分移轉,07230001
RPPNMLRKKHKGFDV17DA,秀山段,8.08,都市：其他:出租旅館區,10000,7,持分移轉,07230000
RPPNMLRKKHKGFDV17DA,秀山段,.00,都市：其他:出租旅館區,10000,7,持分移轉,07230001
RPPNMLKKKHKGFBV88DA,樟原段大峰峰小段,5480.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,02360000
RPPNMLKLKHKGFDV56DA,秀山段,17.31,都市：其他:出租旅館區,10000,15,持分移轉,07230000
RPPNMLKLKHKGFDV56DA,秀山段,.00,都市：其他:出租旅館區,10000,15,持分移轉,07230001
RPSNMLQJKHKGFAV96DA,豐里段,30.44,非都市：特定農業區 ; 非都市編定：農牧用地,24,5,持分移轉,00970000
RPSNMLQJKHKGFAV96DA,豐里段,1399.28,非都市：特定農業區 ; 非都市編定：農牧用地,24,5,持分移轉,01080000
RPRNMLRKJHKGFBV07DA,濱海段,130.02,都市：其他:住宅區,1,1,全筆移轉,08080001
RPRNMLRKJHKGFBV07DA,濱海段,.69,都市：其他:住宅區,1,1,全筆移轉,08080005
RPPNMLKLKHKGFAV88DA,下南寮段,142.00,都市：其他:保護區,1,1,全筆移轉,11940000
RPPNMLKLKHKGFAV88DA,下南寮段,11.34,都市：其他:保護區,1,1,全筆移轉,11940001
RPQNMLSKKHKGFAV07DA,台東段,32.00,都市：其他:住宅區,1,1,全筆移轉,05420019
RPQNMLSKKHKGFAV07DA,台東段,8.90,都市：其他:住宅區,10,1,持分移轉,05420020
RPQNMLLLKHKGFAV09DA,下南寮段,271.13,都市：其他:保護區,1,1,全筆移轉,11750000
RPQNMLMKKHKGFDV76DA,復興段,150.06,都市：其他:住宅區,1,1,全筆移轉,04180003
RPQNMLMKKHKGFDV76DA,復興段,92.47,都市：其他:住宅區,1,1,全筆移轉,04630001
RPPNMLOLKHKGFAV66DA,馬蘭段,2.46,都市：其他:住宅區,10000,70,持分移轉,15680000
RPPNMLOLKHKGFAV66DA,馬蘭段,2.89,都市：其他:住宅區,10000,70,持分移轉,15700000
RPQNMLPKKHKGFAV76DA,豐成段,674.28,非都市：特定農業區 ; 非都市編定：農牧用地,64,20,持分移轉,01890000
RPQNMLLLKHKGFBV56DA,忠智段,149.13,都市：其他:住宅區,1,1,全筆移轉,06990000
RPRNMLNKKHKGFBV76DA,玉港段,1322.71,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,05690002
