編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLOLJHKGFAV86CC,7,114.00,集合住宅,ＲＣ造,107年3月23日,九層,,
RPRNMLOLJHKGFAV86CC,7,79.32,停車空間、騎樓、樓梯間、機械室、蓄水池,ＲＣ造,107年3月23日,九層,,
RPPNMLNLJHKGFAV56CC,29,24.74,集合住宅,鋼筋混凝土造,85年6月28日,九層,,
RPPNMLNLJHKGFAV56CC,29,4.89,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,,
RPPNMLNLJHKGFAV56CC,29,3.00,配電室．樓梯．電梯．機械房．通道．水箱．人行共同使用,鋼筋混凝土造,85年6月28日,九層,,
RPSNMLLKKHKGFAV66CC,34,24.79,住宅，避難室,鋼筋混凝土造,79年10月2日,四層,,
RPQNMLNLJHKGFAV66CC,31,21.81,集合住宅,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,.48,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,.48,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,.48,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,.48,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,.48,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,.48,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,.48,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLNLJHKGFAV66CC,31,3.66,共同使用部份,鋼筋混凝土造,83年1月26日,七層,,
RPQNMLPLKHKGFAV96CC,6,27.88,集合住宅,ＲＣ造,107年9月3日,五層,,
RPQNMLPLKHKGFAV96CC,6,13.26,騎樓、集合住宅、停車空間、樓梯間、機械室、水箱,ＲＣ造,107年9月3日,五層,,
RPQNMLOLJHKGFAV76CC,29,84.58,集合住宅,鋼筋混凝土造,85年6月28日,九層,,
RPQNMLOLJHKGFAV76CC,29,9.78,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,,
RPQNMLOLJHKGFAV76CC,29,9.57,配電室．樓梯．電梯．機械房．通道．水箱．人行共同使用,鋼筋混凝土造,85年6月28日,九層,,
