編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLPKKHKGFAW76DA,,103.41,集合住宅,鋼筋混凝土造,113年12月10日,五層,三層 陽台,全筆移轉
RPTOMLOKKHKGFAW17DA,,103.04,集合住宅,鋼筋混凝土造,113年12月10日,五層,四層 陽台,全筆移轉
RPTOMLOKKHKGFAW17DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPOOMLPKKHKGFAW76DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPPOMLOKKHKGFAW76DA,,103.04,集合住宅,鋼筋混凝土造,113年12月10日,五層,二層 陽台,全筆移轉
RPPOMLOKKHKGFAW76DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPROMLOKKHKGFAW96DA,,103.04,集合住宅,鋼筋混凝土造,113年12月10日,五層,三層 陽台,全筆移轉
RPROMLOKKHKGFAW96DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPVOMLOKKHKGFAW37DA,,104.05,集合住宅,鋼筋混凝土造,113年12月10日,五層,一層 陽台,全筆移轉
RPVOMLOKKHKGFAW37DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPSNMLPKKHKGFAW07DA,,104.05,集合住宅,鋼筋混凝土造,113年12月10日,五層,三層 陽台,全筆移轉
RPSNMLPKKHKGFAW07DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPWNMLLLJHKGFAW07DA,8,57.03,集合住宅,鋼筋混凝土造,106年1月25日,三層,二層 陽台,全筆移轉
RPWNMLLLJHKGFAW07DA,8,7.93,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年1月25日,三層,,持分移轉
RPUNMLPKKHKGFAW27DA,,104.05,集合住宅,鋼筋混凝土造,113年12月10日,五層,四層 陽台,全筆移轉
RPUNMLPKKHKGFAW27DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPXNMLOKKHKGFAW47DA,10,32.24,集合住宅,鋼筋混凝土造,103年11月13日,三層,二層 陽台,全筆移轉
RPXNMLOKKHKGFAW47DA,10,4.36,共有部分：本共有部分之項目有走廊、樓梯間等二項。,鋼筋混凝土造,103年11月13日,三層,,持分移轉
RPWNMLPKKHKGFAW47DA,,103.41,集合住宅,鋼筋混凝土造,113年12月10日,五層,二層 陽台,全筆移轉
RPWNMLPKKHKGFAW47DA,,24.24,集合住宅：本共有部分項目有梯廳、無障礙室內通路、樓梯間、安全梯、梯坑、電信室及水塔間等７項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPRNMLNLJHKGFAW76DA,,84.07,集合住宅,鋼筋混凝土造,113年12月10日,五層,五層 陽台,全筆移轉
RPRNMLNLJHKGFAW76DA,,20.45,集合住宅：本建物共有部分項目有梯廳、梯坑、安全梯、電信機房、水塔間等５項。,鋼筋混凝土造,113年12月10日,五層,,持分移轉
RPTNMLSJJHKGFAW27DA,,96.88,集合住宅,鋼筋混凝土造,113年10月30日,五層,四層 陽台,全筆移轉
RPTNMLSJJHKGFAW27DA,,20.22,集合住宅：本建物共有部分項目有梯廳、樓梯間及水塔間等３項。,鋼筋混凝土造,113年10月30日,五層,,持分移轉
RPWNMLOKKHKGFAW37DA,,108.60,集合住宅,鋼筋混凝土造,113年12月2日,五層,五層 陽台,全筆移轉
RPWNMLOKKHKGFAW37DA,,30.97,集合住宅：本共有部分項目有梯廳、走廊、安全梯、及梯間等４項。,鋼筋混凝土造,113年12月2日,五層,,持分移轉
RPWNMLRJKHKGFAW57DA,,77.45,集合住宅,鋼筋混凝土造,113年9月26日,七層,三層 陽台,全筆移轉
