編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTKKHKGFAW17DA,寧安五劃段,1007.00,都市：其他:農業區,1,1,全筆移轉,00180000
RPPNMLTKKHKGFAW17DA,寧安五劃段,1193.00,都市：其他:農業區,1,1,全筆移轉,02130000
RPPNMLTKKHKGFAW17DA,龍潭段,505.01,都市：其他:第二類一般管制區,1,1,全筆移轉,03770000
RPPNMLTKKHKGFAW17DA,龍潭段,182.69,都市：其他:國家公園區,1,1,全筆移轉,04580000
RPPNMLTKKHKGFAW17DA,古寧頭測段,65.71,都市：其他:生活發展用地,1,1,全筆移轉,06770000
RPPNMLTKKHKGFAW17DA,龍潭段,235.61,都市：其他:第二類一般管制區,1,1,全筆移轉,06830000
RPPNMLTKKHKGFAW17DA,寧劃段,750.00,都市：其他:農業區,1,1,全筆移轉,08510000
RPXOMLRKJHKGFAW77DA,寧湖二劃測段,266.74,都市：其他:道路用地,1,1,全筆移轉,05950000
RPXOMLRKJHKGFAW77DA,寧湖二劃測段,137.55,都市：其他:農業區,1,1,全筆移轉,05950001
RPXOMLRKJHKGFAW77DA,寧湖二劃測段,2.71,都市：其他:農業區,1,1,全筆移轉,05950002
RPXOMLRKJHKGFAW77DA,寧湖二劃測段,467.77,都市：其他:道路用地,1,1,全筆移轉,05960000
RPXOMLRKJHKGFAW77DA,寧湖二劃測段,118.96,都市：其他:農業區,1,1,全筆移轉,05960001
RPXOMLRKJHKGFAW77DA,寧湖二劃測段,53.38,都市：其他:農業區,1,1,全筆移轉,05960002
RPQNMLOLKHKGFAW86DA,湖后劃段,1000.00,都市：其他:農業區,1,1,全筆移轉,03540000
RPOOMLPKKHKGFAW76DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPTOMLOKKHKGFAW17DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPTOMLOKKHKGFAW17DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPOOMLPKKHKGFAW76DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPPOMLOKKHKGFAW76DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPPOMLOKKHKGFAW76DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPROMLOKKHKGFAW96DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPROMLOKKHKGFAW96DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPPNMLSKKHKGFAW07DA,鎮西段,492.79,都市：其他:農業區,1,1,全筆移轉,03920002
RPPNMLSKKHKGFAW07DA,鎮西段,37.48,都市：其他:道路用地、農業區,1,1,全筆移轉,03920003
RPVOMLOKKHKGFAW37DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPVOMLOKKHKGFAW37DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPSNMLPKKHKGFAW07DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPSNMLPKKHKGFAW07DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPWNMLLLJHKGFAW07DA,金門城測段,37.77,都市：其他:自然村專用區,10000,1598,持分移轉,07730000
RPUNMLPKKHKGFAW27DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPUNMLPKKHKGFAW27DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPXNMLOKKHKGFAW47DA,青山段,19.92,都市：其他:自然村專用區,10000,234,持分移轉,10450001
RPWNMLPKKHKGFAW47DA,庵前劃測段,48.23,都市：其他:自然村專用區,15,1,持分移轉,03910000
RPWNMLPKKHKGFAW47DA,庵前劃測段,12.30,都市：其他:自然村專用區,15,1,持分移轉,03910001
RPPPMLRKJHKGFAW07DA,新塘段,882.00,都市：其他:自然村專用區,1,1,全筆移轉,00830000
RPRNMLNLJHKGFAW76DA,后沙劃測段,43.11,都市：其他:自然村專用區,20,1,持分移轉,00160000
RPTNMLSJJHKGFAW27DA,盤山村測段,53.91,都市：其他:自然村專用區,10,1,持分移轉,06680000
RPPNMLLLKHKGFAW56EA,中四劃段,456.00,都市：其他:農業區,1,1,全筆移轉,02770000
RPPNMLLLKHKGFAW56EA,中四劃段,823.00,都市：其他:農業區,1,1,全筆移轉,02990000
RPQNMLLLKHKGFAW66EA,中四劃段,331.00,都市：其他:農業區,1,1,全筆移轉,02780001
RPQNMLTKKHKGFAW37EA,官澳測段,48.02,都市：其他:道路用地,1,1,全筆移轉,03800001
RPQNMLTKKHKGFAW37EA,官澳測段,97.26,都市：其他:第二類一般管制區,1,1,全筆移轉,03820001
RPWNMLOKKHKGFAW37DA,湖前段,60.12,都市：其他:自然村專用區,5,1,持分移轉,08880000
RPWNMLRJKHKGFAW57DA,祥豐段,29.03,都市：其他:第三種住宅區。,100,14,持分移轉,00200000
RPTNMLOKKHKGFAW07DA,湖前段,60.12,都市：其他:自然村專用區,5,1,持分移轉,08880000
RPUNMLRJKHKGFAW37DA,祥豐段,39.39,都市：其他:第三種住宅區。,100,19,持分移轉,00200000
RPVNMLRJKHKGFAW47DA,祥豐段,29.03,都市：其他:第三種住宅區。,100,14,持分移轉,00200000
RPSNMLOKKHKGFAW96DA,湖前段,60.12,都市：其他:自然村專用區,5,1,持分移轉,08880000
RPRNMLMKKHKGFAW66DA,陽宅段,29.46,都市：其他:自然村專用區,1000,127,持分移轉,12160000
RPPNMLKLKHKGFAW09EA,天后宮段,23.29,都市：其他:第二種住宅區,4,1,持分移轉,03330000
RPTOMLKKKIJGFAW76DA,寧湖二劃測段,7.27,都市：其他:農業區,1896136,172376,持分移轉,04030000
RPTOMLKKKIJGFAW76DA,寧湖二劃測段,138.23,都市：其他:農業區,1,1,全筆移轉,04030007
RPTOMLKKKIJGFAW76DA,寧湖二劃測段,15.65,都市：其他:農業區,1896136,172376,持分移轉,04030008
RPTOMLKKKIJGFAW76DA,寧湖二劃測段,.90,都市：其他:農業區,1723760,172376,持分移轉,04030009
RPTOMLKKKIJGFAW76DA,寧湖二劃測段,.90,都市：其他:農業區,1723760,172376,持分移轉,04030010
RPTOMLKKKIJGFAW76DA,寧湖二劃測段,5.59,都市：其他:農業區,1896136,172376,持分移轉,04030011
RPTOMLKKKIJGFAW76DA,寧湖二劃測段,3.65,都市：其他:農業區,1723760,172376,持分移轉,04030016
RPTOMLKKKIJGFAW76DA,珠山段,447.81,都市：其他:農業區,1,1,全筆移轉,04680000
RPTOMLKKKIJGFAW76DA,東紅山段,563.36,都市：其他:第二類一般管制區,1,1,全筆移轉,08730000
RPTOMLKKKIJGFAW76DA,東紅山段,489.45,都市：其他:國家公園區,1,1,全筆移轉,08750000
