鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
馬公市,土地,案山段310地號,38.81,住,,,1140217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1443623,37197,,0.0,0,畸零地或有合併使用效益；協議價購；,RPPNMLOLKHKGFAX86DA,0.0,0.0,0.0,無,01
馬公市,土地,中山段272地號,27.56,住,,,1140203,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,36284,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPTNMLSKKHKGFAX67EA,0.0,0.0,0.0,無,
湖西鄉,土地,南寮南段810地號,418.02,,一般農業區,農牧用地,1140121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,1914,,0.0,0,,RPSNMLLLJHKGFAX76DA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段386-2地號,24.37,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,88451,3630,,0.0,0,協議價購；,RPXNMLKKKHKGFAX17DA,0.0,0.0,0.0,無,02
馬公市,土地,烏崁新段337-2地號,51.7,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,187683,3630,,0.0,0,協議價購；,SPXNMLKKKHKGFAX27DA,0.0,0.0,0.0,無,03
馬公市,土地,烏崁新段386-2地號,24.37,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,88451,3630,,0.0,0,協議價購；,RPOOMLKKKHKGFAX98DA,0.0,0.0,0.0,無,02
馬公市,土地,烏崁新段337-2地號,51.7,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,187683,3630,,0.0,0,協議價購；,SPOOMLKKKHKGFAX09DA,0.0,0.0,0.0,無,03
馬公市,土地,烏崁新段384-2地號,3.35,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12161,3630,,0.0,0,協議價購；,RPOOMLMKKHKGFAX56DA,0.0,0.0,0.0,無,06
馬公市,土地,烏崁新段384-2地號,1.68,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6080,3619,,0.0,0,協議價購；,RPTOMLOKKHKGFAX27DA,0.0,0.0,0.0,無,06
湖西鄉,土地,成功南段715地號,248.98,,一般農業區,農牧用地,1140116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4300000,17270,,0.0,0,,RPTNMLKKKHKGFAX76DA,0.0,0.0,0.0,無,08
馬公市,土地,烏崁新段399-2地號,29.06,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,105488,3630,,0.0,0,協議價購；,RPPPMLKKKHKGFAX56DA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段316地號,6.49,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23541,3627,,0.0,0,協議價購；,SPPPMLKKKHKGFAX66DA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段280-1地號,9.02,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,32743,3630,,0.0,0,協議價購；,RPUPMLKKKHKGFAX07DA,0.0,0.0,0.0,無,09
馬公市,土地,烏崁新段279-1地號,2.67,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9695,3631,,0.0,0,協議價購；,SPUPMLKKKHKGFAX17DA,0.0,0.0,0.0,無,10
馬公市,土地,烏崁新段281-1地號,7.82,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,28399,3632,,0.0,0,協議價購；,TPUPMLKKKHKGFAX27DA,0.0,0.0,0.0,無,11
馬公市,土地,烏崁新段91-1地號,1.85,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6716,3630,,0.0,0,協議價購；,RPRNMLMKKHKGFAX76DA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段238-1地號,109.78,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,398482,3630,,0.0,0,協議價購；,RPSNMLMKKHKGFAX86DA,0.0,0.0,0.0,無,12
馬公市,土地,烏崁新段238-1地號,36.59,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,132828,3630,,0.0,0,協議價購；,RPTNMLMKKHKGFAX96DA,0.0,0.0,0.0,無,12
馬公市,土地,烏崁新段1872-2地號,8.9,,一般農業區,交通用地,1140122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,32312,3631,,0.0,0,協議價購；,RPWNMLMKKHKGFAX27DA,0.0,0.0,0.0,無,14
