編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLMKKHKGFAX56DA,烏崁新段,3.35,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,03840002
RPSNMLLLJHKGFAX76DA,南寮南段,418.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08100000
RPPNMLOLKHKGFAX86DA,案山段,38.81,都市：其他:住宅區,3,2,持分移轉,03100000
RPXNMLKKKHKGFAX17DA,烏崁新段,24.37,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉,03860002
RPTOMLOKKHKGFAX27DA,烏崁新段,1.68,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉,03840002
SPOOMLKKKHKGFAX09DA,烏崁新段,51.70,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉,03370002
SPXNMLKKKHKGFAX27DA,烏崁新段,51.70,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉,03370002
RPTNMLKKKHKGFAX76DA,成功南段,248.98,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07150000
RPOOMLKKKHKGFAX98DA,烏崁新段,24.37,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉,03860002
RPPPMLKKKHKGFAX56DA,烏崁新段,29.06,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,03990002
RPTNMLMKKHKGFAX96DA,烏崁新段,36.59,非都市：一般農業區 ; 非都市編定：交通用地,12,1,持分移轉,02380001
TPUPMLKKKHKGFAX27DA,烏崁新段,7.82,非都市：一般農業區 ; 非都市編定：交通用地,12,1,持分移轉,02810001
RPUPMLKKKHKGFAX07DA,烏崁新段,9.02,非都市：一般農業區 ; 非都市編定：交通用地,12,1,持分移轉,02800001
RPWNMLMKKHKGFAX27DA,烏崁新段,8.90,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,18720002
